1460.32361    0.80219    0.06723    0.00000
1460.66040    0.88097    0.06466    0.00000
1460.99646    0.87945    0.06447    0.00000
1461.33325    0.84782    0.06317    0.00000
1461.66956    0.72029    0.04497    0.00000
1462.00659    0.82200    0.06464    0.00000
1462.34290    0.85940    0.06349    0.00000
1462.67932    0.92864    0.06124    0.00000
1463.01660    0.93285    0.05961    0.00000
1463.35315    0.84876    0.05881    0.00000
1463.69067    0.81765    0.05371    0.00000
1464.02734    0.84181    0.04816    0.00000
1464.36499    0.86410    0.04871    0.00000
1464.70178    0.70368    0.05683    0.00000
1465.03882    0.67522    0.06174    0.00000
1465.37659    0.84391    0.05405    0.00000
1465.71362    0.86432    0.05323    0.00000
1466.05176    0.70113    0.05948    0.00000
1466.38892    0.79706    0.06068    0.00000
1466.72717    0.75567    0.06027    0.00000
1467.06445    0.78090    0.06036    0.00000
1467.40210    0.82980    0.05799    0.00000
1467.74036    0.85054    0.05354    0.00000
1468.07812    0.93115    0.04647    0.00000
1468.41650    0.88723    0.04384    0.00000
1468.75439    0.83876    0.04675    0.00000
1469.09302    0.87325    0.05175    0.00000
1469.43103    0.89638    0.05425    0.00000
1469.76904    0.89044    0.05147    0.00000
1470.10803    1.00752    0.04688    0.00000
1470.44617    0.91196    0.04785    0.00000
1470.78528    0.90272    0.04901    0.00000
1471.12354    0.84804    0.05004    0.00000
1471.46289    0.86254    0.05180    0.00000
1471.80139    0.76117    0.05306    0.00000
1472.13989    0.81110    0.05235    0.00000
1472.47949    0.88224    0.04757    0.00000
1472.81812    0.67947    0.05254    0.00000
1473.15784    0.66456    0.05090    0.00000
1473.49670    0.83714    0.04966    0.00000
1473.83643    0.85362    0.04828    0.00000
1474.17554    0.82550    0.04894    0.00000
1474.51465    0.80389    0.05097    0.00000
1474.85474    0.78201    0.05312    0.00000
1475.19397    0.73923    0.05048    0.00000
1475.53418    0.76756    0.04949    0.00000
1475.87366    0.82661    0.04761    0.00000
1476.21399    0.83585    0.04828    0.00000
1476.55347    0.72972    0.05136    0.00000
1476.89319    0.70837    0.05109    0.00000
1477.23389    0.81938    0.04896    0.00000
1477.57361    0.63845    0.05455    0.00000
1477.91431    0.55659    0.05699    0.00000
1478.25439    0.60005    0.05054    0.00000
1478.59534    0.71791    0.04822    0.00000
1478.93530    0.61588    0.05388    0.00000
1479.27563    0.58070    0.05741    0.00000
1479.61670    0.55521    0.05757    0.00000
1479.95703    0.57415    0.05739    0.00000
1480.29834    0.62410    0.05672    0.00000
1480.63892    0.52995    0.05794    0.00000
1480.98035    0.44879    0.05762    0.00000
1481.32104    0.48733    0.05819    0.00000
1481.66174    0.38763    0.06458    0.00000
1482.00354    0.41504    0.06555    0.00000
1482.34448    0.28633    0.06798    0.00000
1482.68628    0.35905    0.06096    0.00000
1483.02734    0.38241    0.05807    0.00000
1483.36926    0.32798    0.05952    0.00000
1483.71057    0.29671    0.06425    0.00000
1484.05188    0.22947    0.07308    0.00000
1484.39417    0.27575    0.07652    0.00000
1484.73560    0.32085    0.07285    0.00000
