1460.32361    0.95481    0.08002    0.00000
1460.66040    1.04792    0.07691    0.00000
1460.99646    1.04545    0.07664    0.00000
1461.33325    1.00721    0.07505    0.00000
1461.66956    0.85517    0.05339    0.00000
1462.00659    0.97530    0.07670    0.00000
1462.34290    1.01904    0.07528    0.00000
1462.67932    1.10044    0.07257    0.00000
1463.01660    1.10473    0.07059    0.00000
1463.35315    1.00451    0.06960    0.00000
1463.69067    0.96708    0.06353    0.00000
1464.02734    0.99503    0.05693    0.00000
1464.36499    1.02073    0.05754    0.00000
1464.70178    0.83071    0.06709    0.00000
1465.03882    0.79661    0.07284    0.00000
1465.37659    0.99499    0.06373    0.00000
1465.71362    1.01842    0.06272    0.00000
1466.05176    0.82561    0.07004    0.00000
1466.38892    0.93798    0.07141    0.00000
1466.72717    0.88871    0.07088    0.00000
1467.06445    0.91780    0.07094    0.00000
1467.40210    0.97466    0.06811    0.00000
1467.74036    0.99839    0.06285    0.00000
1468.07812    1.09232    0.05451    0.00000
1468.41650    1.04014    0.05140    0.00000
1468.75439    0.98269    0.05477    0.00000
1469.09302    1.02246    0.06059    0.00000
1469.43103    1.04887    0.06348    0.00000
1469.76904    1.04127    0.06019    0.00000
1470.10803    1.17743    0.05479    0.00000
1470.44617    1.06508    0.05588    0.00000
1470.78528    1.05363    0.05720    0.00000
1471.12354    0.98918    0.05837    0.00000
1471.46289    1.00546    0.06038    0.00000
1471.80139    0.88673    0.06181    0.00000
1472.13989    0.94430    0.06095    0.00000
1472.47949    1.02647    0.05535    0.00000
1472.81812    0.79006    0.06109    0.00000
1473.15784    0.77223    0.05915    0.00000
1473.49670    0.97216    0.05767    0.00000
1473.83643    0.99067    0.05603    0.00000
1474.17554    0.95743    0.05676    0.00000
1474.51465    0.93178    0.05908    0.00000
1474.85474    0.90584    0.06153    0.00000
1475.19397    0.85575    0.05844    0.00000
1475.53418    0.88798    0.05725    0.00000
1475.87366    0.95569    0.05504    0.00000
1476.21399    0.96576    0.05578    0.00000
1476.55347    0.84261    0.05931    0.00000
1476.89319    0.81744    0.05896    0.00000
1477.23389    0.94494    0.05646    0.00000
1477.57361    0.73582    0.00000    0.00000
1477.91431    0.64107    0.00000    0.00000
1478.25439    0.69069    0.00000    0.00000
1478.59534    0.82583    0.05547    0.00000
1478.93530    0.70801    0.00000    0.00000
1479.27563    0.66715    0.00000    0.00000
1479.61670    0.63746    0.00000    0.00000
1479.95703    0.65879    0.00000    0.00000
1480.29834    0.71565    0.00000    0.00000
1480.63892    0.60730    0.00000    0.00000
1480.98035    0.51397    0.00000    0.00000
1481.32104    0.55776    0.00000    0.00000
1481.66174    0.44337    0.00000    0.00000
1482.00354    0.47442    0.00000    0.00000
1482.34448    0.32709    0.00000    0.00000
1482.68628    0.40989    0.00000    0.00000
1483.02734    0.43629    0.00000    0.00000
1483.36926    0.37395    0.00000    0.00000
1483.71057    0.33808    0.00000    0.00000
1484.05188    0.26130    0.00000    0.00000
1484.39417    0.31380    0.00000    0.00000
1484.73560    0.36489    0.00000    0.00000
1485.07788    0.23057    0.00000    0.00000
1485.41956    0.21566    0.00000    0.00000
1485.76208    0.34288    0.00000    0.00000
1486.10400    0.41788    0.00000    0.00000
1486.44580    0.38972    0.00000    0.00000
1486.78857    0.33341    0.00000    0.00000
1487.13074    0.46938    0.00000    0.00000
1487.47351    0.44997    0.00000    0.00000
1487.81567    0.41462    0.00000    0.00000
1488.15881    0.41789    0.00000    0.00000
1488.50122    0.43319    0.00000    0.00000
1488.84436    0.27408    0.00000    0.00000
1489.18689    0.37098    0.00000    0.00000
1489.52954    0.58119    0.00000    0.00000
1489.87305    0.38966    0.00000    0.00000
1490.21582    0.41785    0.00000    0.00000
1490.55945    0.28957    0.00000    0.00000
1490.90234    0.24033    0.00000    0.00000
1491.24609    0.21628    0.00000    0.00000
1491.58923    0.36422    0.00000    0.00000
1491.93237    0.38787    0.00000    0.00000
1492.27637    0.51075    0.00000    0.00000
1492.61963    0.51096    0.00000    0.00000
1492.96387    0.41751    0.00000    0.00000
1493.30725    0.49335    0.00000    0.00000
1493.65161    0.50480    0.00000    0.00000
1493.99524    0.39862    0.00000    0.00000
1494.33899    0.53712    0.00000    0.00000
1494.68347    0.48576    0.00000    0.00000
1495.02734    0.33466    0.00000    0.00000
1495.37207    0.39227    0.00000    0.00000
1495.71606    0.31537    0.00000    0.00000
1496.06104    0.51109    0.00000    0.00000
