150.82912     52.25176     3.31665     8175-57039-0600      0903-52400-0179      5737-56381-0054        
152.63259     53.36818     2.04553     8181-57073-0227      0903-52400-0609      6687-56602-0615        
152.78703     51.93161     2.46524     8175-57039-0844      0903-52400-0068      6660-56370-0958        
153.15598     51.94302     2.22069     8175-57039-0887      0903-52400-0026      6687-56602-0282        
153.94746     51.43774     2.7641     8168-56992-0545      1008-52707-0353      6668-56605-0652        
154.19986     49.61286     1.75043     8168-56992-0384      1007-52706-0050      6658-56606-0547        
157.20962     51.18142     2.42581     8168-56992-0958      1009-52644-0282      6694-56386-0642        
157.63659     51.37755     3.25244     8167-57071-0510      1008-52707-0622      6695-56628-0288        
160.29456     49.29741     2.79518     7387-57038-0842      0875-52354-0104      6656-56624-0952        
161.29030     48.07495     1.78336     7387-57038-0053      0963-52643-0359      6701-56367-0432        
161.46604     47.21265     2.44359     7390-57130-0408      0963-52643-0319      6701-56367-0404        
161.69099     51.39260     1.73523     8167-57071-0020      0876-52669-0329      6702-56381-0786        
163.56880     51.39057     2.34108     8162-56993-0862      0876-52669-0533      6706-56385-0414        
166.20661     55.35936     2.00937     8171-57135-0560      0908-52373-0253      7101-56659-0298        
167.33700     54.87617     1.94576     8171-57135-0694      1012-52649-0329      6705-56636-0706        
167.36191     55.19218     1.86312     8171-57135-0623      0908-52373-0098      6705-56636-0662        
168.65523     50.57940     2.20744     7395-57131-0949      0878-52353-0219      6692-56390-0750        
169.36981     49.03790     2.46601     7397-57129-0572      0965-52438-0477      6692-56390-0185        
169.68815     50.66957     2.34082     8160-57071-0307      0878-52353-0141      6692-56390-0868        
171.17004     55.04269     2.93319     8170-57131-0396      1014-52707-0347      7093-56657-0178        
171.47797     57.31151     2.95595     8176-57131-0427      1310-53033-0388      7100-56636-0142        
171.90292     48.99427     1.84547     7397-57129-0938      0966-52642-0274      6685-56412-0736        
172.53920     49.87998     2.08731     7400-57134-0530      0966-52642-0487      6685-56412-0792        
172.83352     50.93752     2.00158     7400-57134-0558      0879-52365-0060      6691-56413-0136        
172.96905     58.75284     2.26192     8176-57131-0686      0952-52409-0169      7099-56666-0400        
173.52867     52.99972     1.76459     8163-57049-0433      0880-52367-0323      6690-56416-0598        
174.34518     54.69869     2.75562     8170-57131-0002      1014-52707-0549      6697-56419-0740        
175.05448     51.99583     2.87963     8163-57049-0244      0880-52367-0165      6690-56416-0270        
175.97840     54.27309     2.85835     8163-57049-0902      1015-52734-0064      6697-56419-0086        
178.06917     50.27282     1.97256     7403-57071-0918      0968-52412-0398      6683-56416-0328        
180.41392     49.22443     2.88199     7423-57135-0464      0969-52442-0246      6677-56385-0936        
181.72248     49.48871     1.84013     7423-57135-0337      0969-52442-0107      6676-56389-0347        
181.93324     49.27007     2.1818     7423-57135-0284      0969-52442-0058      6676-56389-0304        
183.99897     48.92778     1.99699     7423-57135-0060      0970-52413-0214      6671-56388-0570        
188.10150     48.27400     3.11559     7421-57159-0988      1453-53084-0538      6667-56412-0746        
197.61723     48.36803     1.73799     7410-57104-0094      1281-52753-0209      6753-56399-0392        
198.15916     49.78691     1.67777     7410-57104-0962      1281-52753-0505      6754-56414-0454        
198.76874     50.04432     3.28345     7433-57166-0681      1281-52753-0562      6753-56399-0824        
201.52128     49.24681     3.26796     7433-57166-0006      1282-52759-0555      6743-56385-0721        
202.06385     49.07457     2.18911     7434-57166-0659      1283-52762-0381      6743-56385-0828        
205.62386     47.98187     3.23284     7431-57162-0697      1283-52762-0032      6748-56371-0947        
206.24510     48.58264     2.04754     7430-57105-0290      1284-52736-0455      6744-56399-0180        
206.58863     48.12791     2.00399     7431-57162-0853      1284-52736-0495      6749-56370-0616        
207.84783     47.78670     1.94844     7432-57107-0420      1284-52736-0076      6749-56370-0836        
213.58974     52.49447     2.04088     7340-57196-0265      1045-52725-0363      7029-56455-0308        
215.37253     52.46445     3.21883     7340-57196-0061      1326-52764-0243      6717-56397-0264        
223.21155     43.76542     1.72692     8490-57104-0460      1290-52734-0412      6046-56096-0152        
223.57007     39.91716     2.86903     8498-57105-0034      1397-53119-0003      5166-56065-0618        
223.93682     44.18042     1.91245     8490-57104-0424      1676-53147-0310      6046-56096-0976        
224.06354     43.37149     1.96215     8490-57104-0402      1290-52734-0482      6047-56098-0464        
225.88724     44.02242     2.04044     8490-57104-0108      1677-53148-0358      6047-56098-0818        
358.15870      1.09788     2.15126     7848-56959-0545      0386-51788-0524      4215-55471-0676        
358.30678     -0.83978     1.94991     7851-56932-0830      0684-52523-0137      4215-55471-0292        
359.12068     -0.60058     2.94783     7848-56959-0234      0387-51791-0315      4215-55471-0137        
359.26062     -0.80668     2.99387     7850-56956-0555      0387-51791-0246      4216-55477-0410        
359.74781     -0.40729     1.75892     7848-56959-0130      0387-51791-0181      4216-55477-0394        
#22.17447     -0.55477     1.66183     7818-56989-0108      0399-51817-0026      4229-55501-0224        
#35.93400     -0.55127     2.26197     7831-57016-0010      1155-52581-0027      3615-55179-0472        
#358.22299     -0.48067     1.63448     7848-56959-0434      0386-51788-0167      4215-55471-0358        
