 2.60796      0.91323     2.85985     7853-56988-0370      0389-51795-0332      4218-55479-0592        
 2.87732      0.93078     2.30452     7853-56988-0325      0389-51795-0339      4217-55478-0948        
 3.65951     -1.13061     1.80542     7864-56979-0441      0389-51795-0211      4218-55479-0218        
 3.75943      0.20348     2.85254     7864-56979-0618      0389-51795-0465      4218-55479-0818        
 4.24068      0.93740     1.87154     7864-56979-0710      0687-52518-0537      4218-55479-0920        
 4.65170     -0.49252     1.85137     7864-56979-0220      0389-51795-0066      4218-55479-0024        
 5.36620      1.07230     1.82405     7854-56989-0326      0390-51900-0443      4219-55480-0746        
 5.44466     -0.81333     2.49592     7865-56955-0748      0390-51900-0180      4219-55480-0216        
 7.89825      0.57258     2.23643     7868-57006-0512      0689-52262-0502      3587-55182-0570        
 8.82482      0.72604     2.91689     7855-57011-0082      1086-52525-0481      3587-55182-0722        
 8.96660      0.95734     1.9059     7868-57006-0716      0392-51793-0449      3588-55184-0552        
10.09335      0.99436     2.56501     7868-57006-0904      0690-52261-0563      3587-55182-0950        
10.32747      0.29513     1.77022     7870-57016-0508      0392-51793-0631      3589-55186-0620        
10.84763     -0.26458     2.79626     7870-57016-0432      0393-51794-0181      3588-55184-0106        
11.88641      0.35315     2.87322     7870-57016-0855      0393-51794-0588      3589-55186-0936        
12.41298     -0.11650     3.04617     7870-57016-0080      0691-52199-0031      3589-55186-0016        
12.50755      0.43892     1.9463     7870-57016-0962      0394-51913-0435      4223-55451-0882        
18.11502     -1.20602     1.75863     7875-56980-0754      0397-51794-0122      4227-55481-0362        
18.91691     -0.55797     1.60278     7876-57002-0324      0398-51789-0270      4227-55481-0182        
19.95218      0.73222     1.75343     7876-57002-0916      0398-51789-0531      4228-55484-0653        
21.06473     -0.55513     2.25495     7818-56989-0365      1079-52621-0234      4229-55501-0424        
21.63974      0.58609     2.13652     7818-56989-0768      0399-51817-0550      4229-55501-0641        
22.30713      1.24113     1.77884     7860-57006-0296      0399-51817-0604      4229-55501-0826        
24.23464     -0.77329     1.71648     7847-57012-0178      0400-51820-0003      4231-55444-0481        
26.45233     -0.13683     2.80445     7843-56902-0154      1504-52940-0349      3639-55205-0997        
27.05337     -0.85245     1.81963     7844-56982-0716      0402-51793-0299      4232-55447-0288        
27.60184      0.74251     2.00093     7839-56900-0207      0402-51793-0485      4233-55449-0558        
27.70347      0.69060     3.7037     7840-57003-0637      0402-51793-0505      3606-55182-0640        
30.02631     -0.61938     2.14219     7837-56987-0421      0403-51871-0070      4233-55449-0006        
34.02552     -0.35139     2.22553     7834-56979-0039      0405-51816-0114      4236-55479-0194        
34.02667      1.25266     2.23097     7830-57043-0301      0405-51816-0570      4267-55484-0288        
35.95520      0.79106     2.34215     7831-57016-0948      0704-52205-0459      3615-55179-0555        
37.18372      0.03806     2.72573     7828-57039-0738      0406-51869-0037      3615-55179-0780        
37.91473      0.29955     2.37393     7828-57039-0845      0407-51820-0483      3744-55209-0730        
38.22002     -0.23088     2.02831     7828-57039-0116      0407-51820-0158      3615-55179-0030        
39.19633     -0.52339     2.39991     7825-57030-0360      1510-52992-0270      3745-55234-0229        
39.58710      0.23881     2.799     7825-57030-0760      0706-52199-0472      3745-55234-0854        
40.62772     -0.00825     2.49514     7822-57041-0509      0707-52177-0392      3651-55247-0360        
40.76953      0.00151     2.00714     7822-57041-0529      0408-51821-0080      3651-55247-0320        
41.23826     -1.13608     3.9856     7822-57041-0393      0409-51871-0282      3651-55247-0206        
41.75496      0.05840     2.1494     7822-57041-0690      0409-51871-0472      3651-55247-0900        
42.31209     -0.97357     2.48817     7822-57041-0189      0707-52177-0057      4241-55450-0248        
42.67690      0.59354     2.39314     7822-57041-0918      0410-51816-0352      4241-55450-0845        
43.19724      0.85977     2.11971     7820-56984-0541      0409-51871-0612      4241-55450-0950        
43.38304      0.27354     1.82499     7820-56984-0576      0410-51816-0391      4242-55476-0657        
